Hebrew,English,Pronunciation
לא,not,lo
את,you,at
אני,I,ani
זה,this,ze
אתה,you,ata
מה,what,ma
הוא,he,hu
על,on,al
לי,me,li
של,of,shel
כן,yes,ken
לך,to you,lekh
אבל,but,aval
יש,there is,yesh
שלי,my,sheli
כל,all,kol
בסדר,okay,beseder
עם,with,im
היא,she,hi
שלך,your,shelach
אם,if,im
טוב,good,tov
היה,was,haya
אנחנו,we,anachanu
רוצה,want,"rotza,rotze"
אז,then,az
יודע,knowing,yude'a
רק,only,rak
הם,they,hem
יכול,can,yachul
אותו,him,oto
אותך,you,"otakh,otkha"
יותר,more,yoter
גמל,camel,gamal
כאן,here,kan
אותי,me,oti
הזה,this,haze
שאני,That i am,sheani
למה,why,lama
להיות,be,lihiyot
עכשיו,now,akhsav
או,or,o
אחד,one,ekhad
משהו,something,mashehu
היי,hello,hi
צריך,must,tzarikh
כמו,like,kmo
אל,to,el
כך,so,kach
איך,how,eikh
אין,nothing,ein
נכון,right,nachon
לעשות,do,le'asot
תודה,thanks,toda
לו,him,lu
לנו,us,lanu
שאתה,that you,she'ata
מי,who,mi
זאת,this,zot
שם,name,sham
חושב,thinking,hoshev
כדי,to,kadi
שהוא,which is,shehu
כמה,some,kama
פשוט,simple,pashut
יודעת,know,yuda'at
אותה,her,ota
אולי,perhaps,olai
באמת,really,be'emet
כי,that,ki
הייתי,I was,ha'iti
שזה,which is,sheze
גם,also,gam
זו,this,zu
עושה,doing,"osa,ose"
האם,the mother,a'im
ואני,and me,ve'ani
דבר,thing,davar
שלו,his,shelo
עוד,more,od
כבר,already,kvar
שלא,no,shelo
נראה,visible,nir'he
שלנו,our,shelanu
מאוד,very,meod
לפני,before,lifnei
הרבה,many,harbe
בבקשה,please,bevakasha
הולך,going,holekh
קדימה,forward,kadima
אומר,says,omer
יהיה,will be,yi'yi'ye
יכולה,can,yechula
פעם,time,pa'am
זמן,time,zman
אתם,you,atem
עדיין,still,adain
עד,to,ad
ממש,really,mamash
אלוהים,god,elohim
ובכן,well,oo'vkhen
איפה,where,eifo
לה,her,la
קצת,some,ktzat
מישהו,someone,mishehu
אותם,them,otam
לעזאזל,Damn it,la'azazel
אה,Ah,ah
לראות,see,lir'ot
הנה,here,ine
הייתה,was,haita
פה,here,po
אבא,father,aba
הכל,everything,hakol
ללכת,go,lalekhet
בכל,in all,bekol
שהיא,she is,she'hi
צריכה,consumption,tzrikha
בדיוק,exactly,bidiyuk
אנשים,people,anashim
אף,even,af
לדבר,talk,ledaber
חייב,must,khayav
שוב,again,shuv
חשבתי,I thought,khashavti
היית,you were,ha'it
היום,today,hayom
שיש,marble,sha'ish
מצטער,sorry,mitzta'er
מר,Mr,mar
צריכים,need,tzrikhim
בוא,Come on,bo
היו,were,hayoo
שאת,you are,she'at
חושבת,thinking,khoshevet
קרה,cold,kara
אחת,one,akhat
לזה,to that,leze
שלה,its,shela
אמא,mother,ima
אוהב,lover,ohev
שום,garlic,shum
אחר,other,akher
אפילו,even,afilu
ה,the,ha
אדוני,sir,adoni
תמיד,always,tamid
יכולים,can,yekholim
יום,day,yom
חבר,friend,khaver
להם,them,la'hem
בטוח,insurance,ba'tu'akh
בגלל,because of,biglal
שלום,peace,shalom
ואז,And then,ve'az
בטח,sure,be'takh
קורה,happens,kore
האלה,the goddess,ha'ela
אחרי,after,akharei
שהם,which they are,she'hem
מידי,too much,midai
רואה,seeing,ro'he
הזאת,this,ha'zot
הזמן,the time,ha'zman
כולם,everybody,kolam
איתך,with you,itach
אמר,he said,amar
רגע,moment,rega
צדקה,charity,tzdaka
בן,son,ben
ו,and,ve
שאנחנו,that we,sheanakhnu
אמרתי,I said,amarti
איזה,what,eize
בו,in it,bo
אדם,person,adam
תראה,look,tir'a
דברים,stuff,dvarim
מבין,understand,mevin
טובה,favor,tova
בשביל,for,beshvil
בזה,plunder,be'ze
דרך,way,derekh
אוקיי,Okay,o-kay
לעזור,help,la'azor
אותנו,us,otanu
בבית,at home,ba'bait
בואו,come on,bo'ho
מספיק,enough,maspik
הו,Oh,hu
תהיה,be,ti'i'ye
הכי,most,hakhi
הדבר,the thing,hadavar
תן,give,ten
יא,you,ya
ב,on/at,be
לדעת,to know,lada'at
כלום,nothing,klum
מקום,place,makom
כזה,such,kaze
לקחת,take,lakakhat
מזה,from that,maze
לכם,to you (plural),lakhem
מתכוון,mean,mitkaven
ככה,so,kakha
ביותר,most,be'yoter
אוכל,eater,okhel
איתי,with me,iti
יודעים,know,yod'im
אפשר,it is possible,efshar
רכוב,mounted,ra'khoov
וזה,And that,veze
לומר,say,lomar
ל,to,le
כאילו,as if,ke'ilu
קשה,difficult,kashe
לכאן,here,lekan
הביתה,home,habaita
עליי,on me,alai
להגיד,say,lehagid
שנים,years,shanim
מת,dead,met
די,quite,dai
למצוא,find,li'mtzo
גדול,large,gadol
היתה,was,ai'ta
שני,second,sheni
בלי,without,bli
מצטערת,sorry,mitzta'eret
אנו,we,anu
אלה,these,ele
שלהם,their,shelahem
לקבל,get,lekabel
הזו,this one,hazu
יפה,beautiful,yafa
ראיתי,i saw,raiti
מנסה,trying,menasa
כמובן,of course,kamuvan
מותק,honey,motek
מדבר,desert,midbar
ואתה,and you,ve'ata
נהדר,magnificent,ne'he'dar
עליו,on him,alav
סליחה,forgiveness,slikha
אוהבת,love,ohevet
אך,but,akh
אומרת,says,omeret
בואי,come on,bo'i
לעולם,forever,le'olam
ממני,from me,mimeni
רוצים,want,rotzim
הלילה,tonight,halila
והוא,and he,vehu
הבחור,the guy,ha'bakhoor
לתת,give,latet
האמת,the truth,ha'amet
אחי,my brother,akhi
ולא,and no,ve'lo
לשם,opal,lesham
עבור,for,avoor
תגיד,say,tagid
בית,house,bait
אמרת,you said,amart
ואת,and you,ve'at
דלת,door,delet
בי,in me,bi
מעולם,ever,meolam
מכאן,hence,mikan
כסף,money,kesef
עבודה,work,avoda
זהו,this is,zeu
מוכן,prepared,mukhan
ילד,child,yeled
נחמד,nice,nekhamed
לכל,per,lekol
בך,in you,be'kha
עושים,do,osim
מרגיש,feeling,margish
רציתי,I wanted,ratziti
עליך,on you,ala'ikh
נמצא,available,nimtza
אכפת,concern,ekhpat
ש,that,she
הולכים,are going,holkhim
לצאת,go,latzet
כדאי,worthwhile,kedai
עובד,worker,oved
בדרך,through,baderekh
חכה,fishing rod,kha'ke
אי,island,e
לאן,where,le'an
עשה,did,asa
איתו,with him,ito
מ,from,me
מהר,fast,mahar
בזמן,on time,bazman
קריוקי,karaoke,karayoki
נוכל,crook,nokhel
לגבי,regarding,legabei
נשמע,audible,nishma
עשית,you did,asit
עשיתי,i did,asiti
בכלל,at all,bikhlal
דקות,subtlety,dakot
חייבת,must,hayevet
שלכם,your,shelakhem
בשבילך,for you,bi'shvilkha
אמור,supposed,amoor
מספר,number,mispar
מכיר,know,mekir
ללא,without,lelo
מחר,tomorrow,machar
לספר,tell,lesaper
גברת,madam,geveret
לחזור,return,lakhzor
בעיה,problem,be'aya
רע,bad,ra'
בא,coming,ba
נלך,we will go,nilekh
משנה,sub,meshane
ידעתי,I knew,yada'ati
מתי,when,matai
חייבים,must,khayavim
סוף,end,sof
החיים,the life,hakhai'im
להרוג,kill,laharog
הן,they,hen
ממך,from you,mimekh
חלק,part,khelek
מאמין,believe,ma'amin
בחור,guy,bakhoor
בחייך,come on,be'khayekha
במקום,instead of,bimkom
גבר,man,gever
זוכר,remember,zokher
הולכת,going,holekhet
הגיע,arrived,hegi'a
הכול,everything,hakol
תעשה,do,ta'ase
מקווה,hope,mekave
לב,heart,lev
בחיים,alive,bachi'im
הבית,the house,ha'bait
המקום,the place,hamakom
ידי,my hand,yadi
חיים,life,khayim
כל-כך,So much,kol-kach
איש,man,ish
תוכל,you can,tokhal
כנראה,probably,kanir'he
האנשים,the people,anashim
כאשר,when,ka'asher
היינו,we were,ha'inu
לבד,felt,levad
כמעט,almost,kim'at
עלי,pestle,alai
מניח,guess,meni'akh
הכסף,the money,hakesef
נעשה,done,ne'ase
לילה,night,laila
ענבים,grapes,anavim
למעשה,actually,lema'ase
דולר,dollar,dolar
שנה,year,shana
שמעתי,I heard,shama'ati
תראי,look,tir'i
בטוחה,sure,betucha
לגמרי,completely,legamrei
החוצה,out,hakhutza
ילדים,children,yeladim
קטן,small,katan
הדברים,the things,hadvarim
חשוב,important,khashuv
בין,between,bein
שמח,happy,sameakh
הבא,next,haba
הראשון,the first,ha'rishon
לבוא,come,lavo
לחשוב,think,lakhshov
הדרך,the way,haderekh
מאז,since,me'az
בחזרה,back,bekhzara
אמרה,saying,amra
